anio,mes,VPU,fob_dolar,pos_ncm,sector,provincia,nombre_importador,primer_periodo,ultimo_periodo
2026,1,Parque Eólico Olavarría,2896.85,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,1,Parque Eólico Olavarría,6095.62,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,1,Parque Eólico Olavarría,42811.25,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Proyecto Rincón,10150,7508.90.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,41329.44,3917.21.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,573.12,7307.91.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,587.1,7307.91.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,3606.84,7307.91.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Hombre Muerto Oeste (HMW),5000000,8421.29.30,Minería,Catamarca,RIGI - GALAN LITIO SDE        ,202511,202607
2026,2,Hombre Muerto Oeste (HMW),634966,8479.82.90,Minería,Catamarca,RIGI - GALAN LITIO SDE        ,202511,202607
2026,1,Proyecto Rincón,111.16,3917.40.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Proyecto Rincón,619.22,3917.40.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Proyecto Rincón,547.75,3917.40.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Proyecto Rincón,331.17,3917.40.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Proyecto Rincón,1660.64,3917.40.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Proyecto Rincón,59.7,4016.93.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Parque Eólico Olavarría,107790.44,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,201003.18,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Proyecto Rincón,1615.04,3917.40.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,1198.47,7307.91.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Parque Eólico Olavarría,30622.8,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,1,Parque Eólico Olavarría,41031.65,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Hombre Muerto Oeste (HMW),65527,8609.00.00,Minería,Catamarca,RIGI - GALAN LITIO SDE        ,202511,202607
2026,2,Proyecto Rincón,14784,8421.99.99,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Parque Eólico Olavarría,124565.86,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,1,Proyecto Rincón,406.18,4016.93.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Proyecto Rincón,15.39,7318.22.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Proyecto Rincón,2443.25,8482.50.10,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Parque Eólico Olavarría,30895.99,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,199242.85,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,154304.03,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,203214.99,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,76845.53,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,92310.03,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,100479.23,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
